id_mun;f10;f11;f198;f199;f200;f13;f14;f318;f320;f321;f167;f27;f28;f29;f171;f69;f72;f73;f378;f379;f377;f291;f225;f284;f227;f286;f308;f250;f119;f122;mun
430810;21809.0;5004.0;549.0;27604.7;207.0;0.0;2.0;421.0;402.0;823.0;147.0;554.0;95.0;27.0;823.0;711.0;78.0;34.0;205.0;174.0;379.0;55.0;50.0;0.0;0.0;50.0;36.5;302.0;119.0;446.0;Maspujols
081192;21933.0;4739.0;6006.0;78753.4;529.9;0.0;16.0;4758.0;4644.0;9402.0;1598.0;6481.0;1150.0;173.0;9402.0;7127.0;1471.0;804.0;2335.0;1858.0;4193.0;513.0;931.0;70.0;820.0;1821.0;631.2;3133.0;;4424.0;Masquefa
430825;15823.0;5290.0;429.0;25359.0;177.5;0.0;0.0;273.0;219.0;492.0;49.0;304.0;103.0;36.0;492.0;375.0;22.0;95.0;111.0;72.0;183.0;60.0;105.0;0.0;0.0;105.0;21.3;205.0;107.0;383.0;Masroig, el
251312;12462.0;2734.0;383.0;23853.8;143.1;0.0;0.0;354.0;256.0;610.0;50.0;423.0;106.0;31.0;610.0;386.0;54.0;170.0;113.0;69.0;182.0;74.0;33.0;0.0;0.0;33.0;14.2;214.0;38.0;289.0;Massalcoreig
171019;19141.0;4271.0;912.0;62930.9;690.3;0.0;0.0;420.0;376.0;796.0;154.0;471.0;147.0;24.0;796.0;634.0;103.0;59.0;151.0;110.0;261.0;42.0;175.0;287.0;0.0;462.0;67.9;266.0;127.0;446.0;Massanes
251327;20984.0;4657.0;224.0;36183.0;217.1;0.0;0.0;117.0;95.0;212.0;36.0;142.0;26.0;8.0;212.0;156.0;10.0;46.0;67.0;44.0;111.0;22.0;33.0;0.0;0.0;33.0;6.2;69.0;30.0;133.0;Massoteres
081206;48013.0;60222.0;4581.0;199338.8;956.8;0.0;35.0;4756.0;4740.0;9496.0;1678.0;6207.0;1330.0;281.0;9496.0;8303.0;627.0;566.0;2215.0;2073.0;4288.0;1286.0;688.0;305.0;0.0;993.0;222.0;2796.0;317.0;3333.0;Matadepera
081213;20561.0;5259.0;90973.0;65462.8;368.5;110.0;95.0;64476.0;65185.0;129661.0;20736.0;86035.0;19272.0;3618.0;129661.0;81040.0;23753.0;24868.0;26847.0;23651.0;50498.0;7920.0;16357.0;7013.0;15757.0;39127.0;9728.2;47081.0;1272.0;54310.0;Mataró
081228;20339.0;5062.0;2696.0;39258.9;388.7;0.0;3.0;1192.0;1177.0;2369.0;389.0;1493.0;370.0;117.0;2369.0;1807.0;315.0;247.0;484.0;404.0;888.0;151.0;184.0;74.0;0.0;258.0;151.0;886.0;862.0;1935.0;Mediona
251348;15857.0;3921.0;701.0;45323.8;214.5;0.0;1.0;445.0;368.0;813.0;79.0;531.0;146.0;57.0;813.0;634.0;45.0;134.0;198.0;118.0;316.0;95.0;97.0;0.0;0.0;97.0;33.2;369.0;59.0;528.0;Menàrguens
170998;17098.0;3927.0;169.0;34177.5;136.7;0.0;0.0;55.0;45.0;100.0;15.0;67.0;15.0;3.0;100.0;88.0;4.0;8.0;27.0;17.0;44.0;11.0;7.0;0.0;0.0;7.0;3.7;40.0;40.0;88.0;Meranges
171058;20967.0;5581.0;215.0;92972.1;371.9;0.0;0.0;176.0;169.0;345.0;48.0;218.0;69.0;10.0;345.0;288.0;22.0;35.0;78.0;74.0;152.0;46.0;65.0;0.0;0.0;65.0;18.5;133.0;71.0;220.0;Mieres
430831;16298.0;4173.0;140.0;26135.7;156.8;0.0;0.0;91.0;99.0;190.0;30.0;120.0;38.0;2.0;190.0;153.0;30.0;7.0;40.0;38.0;78.0;13.0;;0.0;0.0;;8.3;60.0;20.0;99.0;Milà, el
251351;18584.0;4521.0;834.0;39540.8;268.9;0.0;0.0;717.0;668.0;1385.0;234.0;855.0;240.0;56.0;1385.0;1144.0;90.0;151.0;321.0;239.0;560.0;122.0;273.0;0.0;492.0;765.0;60.2;525.0;;576.0;Miralcamp
430846;16931.0;5322.0;615.0;28834.1;181.7;0.0;0.0;375.0;331.0;706.0;98.0;413.0;166.0;29.0;706.0;563.0;39.0;104.0;146.0;92.0;238.0;82.0;34.0;0.0;0.0;34.0;30.2;296.0;127.0;492.0;Miravet
081385;21361.0;5490.0;5268.0;50301.3;519.6;0.0;8.0;3281.0;3102.0;6383.0;969.0;4289.0;923.0;202.0;6383.0;4721.0;614.0;1048.0;1552.0;1249.0;2801.0;550.0;978.0;333.0;0.0;1311.0;295.7;2144.0;513.0;3452.0;Moià
430859;13998.0;3385.0;291.0;34096.2;184.1;0.0;0.0;155.0;136.0;291.0;19.0;176.0;80.0;16.0;291.0;236.0;17.0;38.0;63.0;52.0;115.0;21.0;32.0;0.0;0.0;32.0;12.7;125.0;44.0;238.0;Molar, el
081234;26161.0;6773.0;18092.0;84621.4;486.6;61.0;73.0;12639.0;13301.0;25940.0;4353.0;17111.0;3790.0;686.0;25940.0;19598.0;3892.0;2450.0;5954.0;5614.0;11568.0;1716.0;4735.0;1773.0;0.0;6508.0;1168.6;9672.0;;11428.0;Molins de Rei
251370;19787.0;5444.0;11552.0;46935.8;333.6;0.0;3.0;7524.0;7125.0;14649.0;2635.0;9906.0;1769.0;339.0;14649.0;9187.0;1386.0;4076.0;3632.0;2667.0;6299.0;1063.0;2403.0;1839.0;816.0;5058.0;842.2;5352.0;;6577.0;Mollerussa
171061;19813.0;4875.0;175.0;39880.0;398.8;0.0;0.0;104.0;94.0;198.0;32.0;106.0;47.0;13.0;198.0;152.0;23.0;23.0;37.0;30.0;67.0;17.0;23.0;0.0;0.0;23.0;7.6;73.0;44.0;137.0;Mollet de Peralada
081249;21607.0;4853.0;33989.0;45925.7;329.1;0.0;90.0;25410.0;26190.0;51600.0;7801.0;34752.0;7788.0;1259.0;51600.0;31613.0;11257.0;8730.0;11303.0;10004.0;21307.0;2523.0;5424.0;2649.0;2938.0;11011.0;3706.3;19307.0;306.0;22442.0;Mollet del Vallès
171077;20982.0;5988.0;722.0;35365.7;297.1;0.0;3.0;166.0;170.0;336.0;47.0;192.0;82.0;15.0;336.0;304.0;10.0;22.0;75.0;63.0;138.0;59.0;44.0;0.0;0.0;44.0;7.2;153.0;241.0;453.0;Molló
251364;14712.0;3755.0;59.0;16118.6;64.5;0.0;0.0;51.0;53.0;104.0;6.0;65.0;29.0;4.0;104.0;97.0;2.0;5.0;29.0;21.0;50.0;29.0;22.0;0.0;0.0;22.0;3.3;33.0;9.0;46.0;Molsosa, la
081287;18255.0;4062.0;1191.0;34017.6;230.6;0.0;0.0;366.0;336.0;702.0;82.0;459.0;134.0;27.0;702.0;572.0;90.0;40.0;166.0;129.0;295.0;54.0;63.0;0.0;0.0;63.0;51.1;250.0;223.0;517.0;Monistrol de Calders
081271;20413.0;4364.0;2252.0;77567.1;387.8;0.0;10.0;1603.0;1536.0;3139.0;492.0;2043.0;501.0;103.0;3139.0;2205.0;449.0;485.0;692.0;554.0;1246.0;182.0;476.0;221.0;0.0;697.0;194.4;1278.0;;1621.0;Monistrol de Montserrat
430918;19852.0;6427.0;319.0;29097.2;261.9;0.0;0.0;99.0;69.0;168.0;20.0;112.0;35.0;1.0;168.0;108.0;29.0;31.0;38.0;24.0;62.0;21.0;17.0;0.0;0.0;17.0;13.8;75.0;79.0;173.0;Mont-ral
171100;21069.0;5656.0;986.0;78192.7;603.6;0.0;0.0;851.0;829.0;1680.0;196.0;1120.0;318.0;46.0;1680.0;1193.0;287.0;200.0;401.0;289.0;690.0;204.0;424.0;0.0;0.0;424.0;71.9;634.0;57.0;724.0;Mont-ras
430923;13103.0;5349.0;20037.0;70868.4;444.0;0.0;6.0;6423.0;6037.0;12460.0;1895.0;8301.0;2018.0;246.0;12460.0;6365.0;2375.0;3720.0;2500.0;1875.0;4375.0;936.0;1451.0;150.0;0.0;1601.0;941.0;5241.0;5103.0;14057.0;Mont-roig del Camp
171096;20369.0;5957.0;707.0;54046.7;302.7;0.0;0.0;481.0;449.0;930.0;126.0;631.0;142.0;31.0;930.0;804.0;45.0;81.0;247.0;194.0;441.0;117.0;74.0;0.0;0.0;74.0;50.9;348.0;62.0;461.0;Montagut i Oix
430862;20995.0;4869.0;5736.0;49092.9;417.3;0.0;1.0;3742.0;3637.0;7379.0;1122.0;4857.0;1121.0;279.0;7379.0;5435.0;878.0;1066.0;1792.0;1459.0;3251.0;518.0;1412.0;1107.0;861.0;3380.0;386.6;3012.0;381.0;4003.0;Montblanc
430884;19711.0;4803.0;2615.0;33206.1;189.3;0.0;4.0;1499.0;1410.0;2909.0;575.0;1890.0;362.0;82.0;2909.0;2285.0;283.0;341.0;704.0;559.0;1263.0;203.0;262.0;139.0;0.0;401.0;193.7;966.0;95.0;1378.0;Montbrió del Camp
081252;21717.0;5038.0;23482.0;73506.2;493.3;0.0;100.0;18148.0;18655.0;36803.0;6125.0;25110.0;4706.0;862.0;36803.0;23841.0;6546.0;6416.0;8233.0;7061.0;15294.0;2098.0;7661.0;4080.0;7487.0;19228.0;2601.0;13007.0;366.0;15910.0;Montcada i Reixac
081304;14260.0;3234.0;109.0;23596.3;132.1;0.0;0.0;72.0;67.0;139.0;26.0;83.0;26.0;4.0;139.0;136.0;2.0;1.0;31.0;31.0;62.0;22.0;;0.0;0.0;;3.7;37.0;25.0;69.0;Montclar
251399;19780.0;5625.0;882.0;56606.6;281.1;0.0;0.0;318.0;260.0;578.0;58.0;379.0;122.0;19.0;578.0;464.0;55.0;59.0;146.0;108.0;254.0;87.0;52.0;0.0;0.0;52.0;18.4;304.0;253.0;651.0;Montellà i Martinet
081311;18121.0;3995.0;926.0;25284.0;204.8;0.0;0.0;513.0;517.0;1030.0;173.0;638.0;171.0;48.0;1030.0;774.0;123.0;133.0;224.0;186.0;410.0;52.0;99.0;0.0;0.0;99.0;54.5;370.0;87.0;586.0;Montesquiu
251403;20369.0;5447.0;1676.0;44356.8;252.8;0.0;1.0;559.0;475.0;1034.0;176.0;640.0;195.0;23.0;1034.0;760.0;106.0;168.0;224.0;175.0;399.0;106.0;245.0;0.0;0.0;245.0;32.0;429.0;222.0;966.0;Montferrer i Castellbò
430897;17033.0;3998.0;451.0;28299.3;169.8;0.0;0.0;210.0;193.0;403.0;70.0;254.0;72.0;7.0;403.0;295.0;65.0;43.0;88.0;59.0;147.0;28.0;29.0;0.0;0.0;29.0;28.9;154.0;131.0;302.0;Montferri
251386;15411.0;4472.0;539.0;47851.6;287.1;0.0;0.0;342.0;301.0;643.0;56.0;372.0;162.0;53.0;643.0;587.0;31.0;25.0;170.0;115.0;285.0;114.0;55.0;75.0;0.0;130.0;11.5;264.0;80.0;397.0;Montgai
081265;25725.0;6825.0;7518.0;83226.3;332.9;0.0;58.0;6029.0;6171.0;12200.0;2096.0;8205.0;1631.0;268.0;12200.0;8919.0;1817.0;1464.0;2832.0;2676.0;5508.0;906.0;1249.0;319.0;0.0;1568.0;640.5;4351.0;;4731.0;Montgat
081326;17609.0;5552.0;374.0;38911.8;155.6;0.0;0.0;232.0;237.0;469.0;82.0;262.0;103.0;22.0;469.0;416.0;15.0;38.0;101.0;87.0;188.0;90.0;72.0;0.0;0.0;72.0;11.4;161.0;41.0;250.0;Montmajor
081332;20295.0;7185.0;191.0;60916.2;322.9;0.0;0.0;81.0;70.0;151.0;13.0;89.0;39.0;10.0;151.0;125.0;9.0;17.0;40.0;29.0;69.0;23.0;84.0;0.0;0.0;84.0;2.8;76.0;23.0;103.0;Montmaneu
430901;16884.0;3406.0;3280.0;29591.5;284.1;0.0;0.0;842.0;740.0;1582.0;221.0;1065.0;262.0;34.0;1582.0;1082.0;351.0;149.0;319.0;244.0;563.0;67.0;44.0;0.0;0.0;44.0;181.5;615.0;694.0;1540.0;Montmell, el
081350;21841.0;4806.0;5525.0;78740.1;598.5;0.0;2.0;4320.0;4511.0;8831.0;1249.0;5860.0;1482.0;240.0;8831.0;5594.0;2249.0;988.0;1986.0;1751.0;3737.0;435.0;1865.0;916.0;274.0;3055.0;521.7;3252.0;;3592.0;Montmeló
251425;16623.0;4297.0;369.0;40729.0;224.0;0.0;1.0;253.0;230.0;483.0;57.0;303.0;99.0;24.0;483.0;391.0;21.0;71.0;108.0;87.0;195.0;54.0;100.0;0.0;0.0;100.0;9.7;198.0;60.0;307.0;Montoliu de Lleida
251410;16571.0;3947.0;363.0;28955.9;202.7;0.0;0.0;102.0;85.0;187.0;16.0;114.0;43.0;14.0;187.0;165.0;5.0;17.0;42.0;32.0;74.0;18.0;;0.0;0.0;;5.5;98.0;59.0;173.0;Montoliu de Segarra
251431;17412.0;5686.0;166.0;20614.5;131.3;0.0;0.0;46.0;50.0;96.0;8.0;51.0;26.0;11.0;96.0;91.0;3.0;2.0;17.0;14.0;31.0;13.0;;0.0;0.0;;2.7;33.0;22.0;62.0;Montornès de Segarra
