codSubasta;lote;Valor de tasación;Fecha de matriculación;Visitable;Inscripción registral;Depósito;Código Postal;Situación posesoria;Número de bastidor;Matrícula;Marca;IDUFIR;numBienes;Tramos entre pujas;Provincia;Descripción;Modelo;Referencia catastral;Importe del depósito;Puja mínima;Dirección;Título jurídico;Vivienda habitual;Valor Subasta;Localidad;Información adicional;Cargas;
SUBASTA SUB-JC-2019-121910;Lote 3;;;No consta;;;17003;No consta;;;;17009000020490;1;Sin tramos;Gerona;URBANA.UNO. LOCAL EN LA PLANTA BAJA DE LA CASA SITA EN GIRONA, CALLE ANTICH ROCA 19 DE TRESCIENTOS METROS CUADRADOS Y SETENTA Y TRES DECÍMETROS CUADRADOS;;;15.112,84 €;Sin puja mínima;C/ Antich Roca 19 bajo;;;302.256,79 €;Girona;;;
SUBASTA SUB-JC-2019-121910;Lote 4;;;No consta;;;17469;No consta;;;;17008000579588;1;Sin tramos;Gerona;RÚSTICA.- PIEZA DE TIERRA OLIVAR DENOMINADA CASETA SERRA DEL TÉRMINO DE VILAMALLA DE EXTENSIÓN APROXIMADA TRES VESANAS;;;34.342,28 €;Sin puja mínima;Parcelas 9 y 10 polígono 1 de Vilamalla;;;686.845,69 €;Vilamalla;;;
SUBASTA SUB-JC-2019-121910;Lote 5;;;No consta;;;17469;No consta;;;;17008000577904;1;Sin tramos;Gerona;RÚSTICA.- PIEZA DE TIERRA CAMPO EN EL TERRITORIO CONOCIDO COMO CASETA SERRA DEL TÉRMINO DE VILAMALLA, DE EXTENSIÓN APROXIMADA TRES VESANAS;;;34.342,28 €;Sin puja mínima;Parcelas 9 y 10 polígono 1 de Vilamalla;;;686.845,69 €;Vilamalla;;;
SUBASTA SUB-JC-2019-121910;Lote 6;;;No consta;;;17600;No consta;;;;17008000808541;1;Sin tramos;Gerona;URBANA ANTES RÚSTICA.- PIEZA DE TIERRA EN EL TÉRMINO MUNICIPAL DE FIGUERES TERRITORIO CEMENTIRI VELL O TERRES NEGRES, HOY CALLE PASTORA;;;39.415,78 €;Sin puja mínima;C/ La Pastora;;;788.315,55 €;Figueres;;;
SUBASTA SUB-JC-2019-121910;Lote 7;;;No consta;;;17600;No consta;;;;17008000601883;1;Sin tramos;Gerona;URBANA-FINCA NÚMERO 9-PARCELA DE TERRENO EN LA UNIDAD DE ACTUACIÓN CARRER RAMON MANDRI EN FIGUERES ;;;54.846,87 €;Sin puja mínima;C/Mandri 14;;;1.096.937,40 €;Figueres ;;;
SUBASTA SUB-JC-2019-121910;Lote 8;;;No consta;;;17600;No consta;;;;17008001222025;1;Sin tramos;Gerona;URBANA.- ENTIDAD NÚMERO NUEVE-PLAZA DE APARCAMIENTO IDENTIFICADA CON EL NÚMERO NUEVE UBICADA EN LA PLANTA SUBTERRANEA DEL EDIFICIO SITUADO EN FIGUERES, CALLE ROCABERTI NÚMERO 37;;;605,71 €;Sin puja mínima;C/Rocabertí 37 parquing 9;;;12.114,21 €;Figueres;;;
SUBASTA SUB-JA-2018-11344;Lote 1;;;No consta;Finca 589, inscrita al tomo 3273, libro 43, folio 20 del Registro de la Propiedad de Figueres;;17742;No consta;;;;;;;Gerona;CONSTA EN CERTIFICACIÓN;;2979114DG9727N0001EW;;;c/ la Bòveda o Volta, 6 (abans 9);;Sí;;AVINYONET DE PUIGVENTÓS;;CONSTAN EN ANEXO;
SUBASTA SUB-JA-2019-12027;Lote 1;;;No consta;FINCA NUMERO 1727;;17538;No consta;;;;17005000353729;;;Gerona;FINCA URBANA;;;;;CALLE MAYOR, NUMERO6, BLOQUE B, CONOCIDA COMO HUERTO DE CAL FORGA, DE SANABASTRE;;No;;DAS;LA FINCA NO ESTA COORDINADA GRAFICAMENTE CON EL CATASTRO. NO ES POSIBLE CERTIFICAR EN EL MOMENTO ACTUAL LA EXISTENCIA DE OTROS OCUPANTES DISTINTOS DEL EJECUTADO;;
SUBASTA SUB-JA-2019-11677;Lote 1;;;No consta;;;17001;No consta;;;;;;;Gerona;FINCA 11686;;;;;PLAZA TOMAS BARAUT 2,2,2;;;;GIRONA;;;
SUBASTA SUB-JA-2019-121747;Lote 1;;;No consta;;;17100;No consta;;;;17007000611304;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;889,67 €;8.896,65 €;C/ Ramon Serradell // Av. Josep Tarradellas;;No;17.793,30 €;LA BISBAL D'EMPORDÀ;;;
