id, user_agent, times_seen, simple_software_string, simple_sub_description_string, simple_operating_platform_string, software, software_name, software_name_code, software_version, software_version_full, operating_system, operating_system_name, operating_system_name_code, operating_system_version, operating_system_version_full, operating_system_flavour, operating_system_flavour_code, operating_system_frameworks, operating_platform, operating_platform_code, operating_platform_vendor_name, software_type, software_sub_type, software_type_specific, hardware_type, hardware_sub_type, hardware_sub_sub_type, hardware_type_specific, layout_engine_name, layout_engine_version, extra_info, extra_info_dict, capabilities, detected_addons, first_seen_at, last_seen_at
93,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.3; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; GWX:QUALIFIED; MASMJS),8,Internet Explorer 11 on Windows 8.1,Internet Explorer 7 Compatibility View,Samsung,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,"[{""code"": ""microsoft-dotnet"", ""name"": ""Microsoft .Net"", ""versions"": [{""simple"": ""4.0"", ""full"": [""4"", ""0E""]}, {""simple"": ""4.0"", ""full"": [""4"", ""0C""]}, {""simple"": ""3.5"", ""full"": [""3"", ""5"", ""30729""]}, {""simple"": ""2.0"", ""full"": [""2"", ""0"", ""50727""]}, {""simple"": ""3.0"", ""full"": [""3"", ""0"", ""30729""]}]}]",,,Samsung,browser,web-browser,,computer,,,,Trident,"[u'7', u'0']","{""10"": [""Internet Explorer 7 Compatibility View""], ""20"": [""32 bit compatibility layer""]}",{},[],[],2016-03-13 12:03:27.000000,2018-03-04 06:22:07.232635
94,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1 like Mac OS X) AppleWebKit (KHTML, like Gecko) Mobile (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)",570,Yahoo! Slurp Web Crawler Bot,,,Yahoo! Slurp Web Crawler Bot,Yahoo! Slurp Web Crawler Bot,yahoo-slurp-web-crawler-bot,,,,,,,,,,[],,,,bot,crawler,,server,,,,,[],{},{},[],[],2016-03-13 12:03:28.000000,2018-03-04 06:22:07.375902
95,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; NP06; rv:11.0) like Gecko,3941,Internet Explorer 11 on Windows 7,,Asus,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 7,Windows,windows,7,NT 6.1,,,[],,,Asus,browser,web-browser,,computer,,,,Trident,"[u'7', u'0']","{""20"": [""Possibly running on Windows Server 2008 R2"", ""32 bit compatibility layer""]}",{},[],[],2013-12-19 14:51:03.000000,2018-12-16 14:00:20.366645
96,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.3; ARM; Trident/7.0; Touch; .NET4.0E; .NET4.0C; Tablet PC 2.0),232,Internet Explorer 11 on Windows 8.1,Internet Explorer 7 Compatibility View,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,"[{""code"": ""microsoft-dotnet"", ""name"": ""Microsoft .Net"", ""versions"": [{""simple"": ""4.0"", ""full"": [""4"", ""0E""]}, {""simple"": ""4.0"", ""full"": [""4"", ""0C""]}]}]",,,,browser,web-browser,,computer,,,,Trident,"[u'7', u'0']","{""10"": [""Internet Explorer 7 Compatibility View""], ""20"": [""Tablet PC""]}","{""Hardware Architecture"": ""ARM"", ""Tablet PC Version"": ""2.0""}","[""Touch capability""]",[],2015-03-26 04:51:32.000000,2018-12-13 19:00:52.456966
98,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.0.19) Gecko/2010062819 Firefox/3.0.19 Flock/2.6.1,107,Flock 2.6 on Windows 7,,,Flock 2.6,Flock,flock,2.6,2.6.1,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Gecko,[u'2010062819'],"{""20"": [""Possibly running on Windows Server 2008 R2""]}",{},[],[],2010-07-20 13:26:05.000000,2018-03-04 06:22:07.767889
99,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",1925,Chrome 44 on Windows 10,,,Chrome 44,Chrome,chrome,44,44.0.2403.157,Windows 10,Windows,windows,10,NT 10.0,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""32 bit compatibility layer""]}",{},[],[],2015-08-26 08:07:42.000000,2018-08-17 14:00:58.261979
100,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,28591,Internet Explorer 11 on Windows 8.1,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Trident,"[u'7', u'0']","{""20"": [""32 bit compatibility layer""]}",{},"[""Touch capability""]",[],2014-01-26 21:21:41.000000,2018-12-17 01:00:09.722379
102,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E),5120,Internet Explorer 11 on Windows 7,Internet Explorer 7 Compatibility View,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 7,Windows,windows,7,NT 6.1,,,"[{""code"": ""microsoft-dotnet"", ""name"": ""Microsoft .Net"", ""versions"": [{""simple"": ""4.0"", ""full"": [""4"", ""0C""]}, {""simple"": ""4.0"", ""full"": [""4"", ""0E""]}, {""simple"": ""2.0"", ""full"": [""2"", ""0"", ""50727""]}, {""simple"": ""3.5"", ""full"": [""3"", ""5"", ""30729""]}, {""simple"": ""3.0"", ""full"": [""3"", ""0"", ""30729""]}]}]",,,,browser,web-browser,,computer,,,,Trident,"[u'7', u'0']","{""10"": [""Internet Explorer 7 Compatibility View""], ""20"": [""32 bit compatibility layer"", ""Media Center PC v6.0""]}",{},[],"[""Microsoft Windows Security Licensing v2.0""]",2014-06-28 23:51:05.000000,2018-12-17 10:00:27.037408
103,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25",4252,Safari 8 on Mac OS X (Yosemite),,,Safari 8,Safari,safari,8,8.0,Mac OS X (Yosemite),Mac OS X,mac-os-x,Yosemite,10.10,,,[],,,,browser,web-browser,,computer,,,,WebKit,"[u'600', u'1', u'25']",{},{},[],[],2014-10-02 12:06:38.000000,2018-11-29 21:05:51.080262
104,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",292,Chrome 44 on Windows 8,,,Chrome 44,Chrome,chrome,44,44.0.2403.157,Windows 8,Windows,windows,8,NT 6.2,,,[],,,,browser,web-browser,,computer,,,,Blink,[],{},{},[],[],2016-03-13 12:03:28.000000,2016-03-14 12:39:16.000000
